4144812,-0.65,-0.67,-41.83
4173940,-0.67,-0.64,-41.34
4203068,-0.66,-0.79,-40.89
4232176,-0.67,-0.68,-40.33
4261308,-0.69,-0.63,-39.78
4290408,-0.69,-0.66,-39.11
4319548,-0.70,-0.68,-38.41
4348656,-0.71,-0.67,-37.72
4377784,-0.74,-0.62,-36.95
4406896,-0.72,-0.61,-36.16
4436036,-0.74,-0.59,-35.29
4465140,-0.75,-0.62,-34.37
4494252,-0.75,-0.62,-33.42
4523396,-0.77,-0.56,-32.45
4552492,-0.79,-0.52,-31.42
4581628,-0.80,-0.51,-30.28
4610728,-0.81,-0.55,-29.15
4639872,-0.80,-0.52,-27.99
4668992,-0.84,-0.46,-26.76
4698124,-0.84,-0.47,-25.44
4727228,-0.83,-0.46,-24.19
4756340,-0.87,-0.43,-22.83
4785484,-0.87,-0.43,-21.39
4814588,-0.89,-0.41,-19.97
4843720,-0.90,-0.35,-18.45
4872836,-0.91,-0.34,-16.90
4901964,-0.92,-0.35,-15.34
4931080,-0.92,-0.34,-13.86
4960192,-0.92,-0.32,-12.37
4989316,-0.91,-0.31,-11.07
5018436,-0.92,-0.27,-9.73
5046524,-0.93,-0.26,-8.42
5074592,-0.94,-0.22,-7.25
5102672,-0.93,-0.23,-6.11
5130756,-0.95,-0.21,-5.10
5158840,-0.95,-0.20,-4.24
5186908,-0.94,-0.11,-3.21
5214976,-0.96,-0.08,-2.14
5243068,-0.98,-0.09,-1.16
5271140,-0.94,-0.11,-0.27
5299224,-0.95,-0.16,0.48
5326256,-0.96,0.05,1.35
5352248,-1.02,0.06,2.50
5378280,-1.01,-0.00,3.55
5405316,-0.92,-0.03,4.58
5432356,-0.95,0.03,5.82
5458360,-0.97,0.08,6.89
5484356,-0.99,0.18,8.05
5510360,-1.00,0.18,9.36
5536364,-0.96,0.09,10.60
5563400,-0.94,0.05,11.95
5590440,-1.01,0.19,13.26
5617476,-0.94,0.28,14.66
5644528,-0.99,0.27,16.21
5671552,-0.93,0.22,17.68
5698604,-0.95,0.24,19.25
5725636,-0.90,0.27,20.78
5752676,-0.91,0.37,22.32
5779712,-0.91,0.34,24.06
5806752,-0.92,0.36,25.76
5833788,-0.87,0.38,27.45
5860820,-0.88,0.42,29.17
5887848,-0.84,0.40,30.75
5914904,-0.84,0.43,32.40
5941932,-0.80,0.48,33.94
5968980,-0.79,0.54,35.47
5996020,-0.77,0.53,36.99
6023060,-0.78,0.49,38.43
6050112,-0.81,0.58,39.84
6077120,-0.76,0.61,41.21
6104176,-0.72,0.63,42.60
6131224,-0.71,0.59,43.85
6158256,-0.78,0.61,45.12
6185304,-0.77,0.67,46.35
6212340,-0.71,0.67,47.55
6239384,-0.63,0.66,48.73
6266396,-0.66,0.66,49.77
6293444,-0.65,0.72,50.90
6320500,-0.64,0.72,51.94
6347532,-0.61,0.70,52.84
6374584,-0.62,0.80,53.80
6401616,-0.60,0.79,54.72
6428664,-0.59,0.76,55.61
6455704,-0.53,0.70,56.41
6482744,-0.58,0.82,57.13
6509780,-0.54,0.81,57.91
6536828,-0.50,0.83,58.65
6563868,-0.55,0.71,59.32
6590900,-0.53,0.82,59.90
6617932,-0.52,0.83,60.45
6644992,-0.49,0.79,60.97
6672016,-0.48,0.85,61.49
6699068,-0.44,0.78,61.93
6726104,-0.50,0.87,62.38
